Summary of Standards Based Test Performance
School Name,CRT,Reading ED, AS, MS, ES,Mathematics ED, AS, MS, ES,Science ED, AS, MS, ES
Robert L. Forbuss Elementary School,21,26,29,24,24,28,27,22,N/A,N/A,N/A,N/A
Robert L. Taylor Elementary School,70,12,12,6,59,24,15,3,N/A,N/A,N/A,N/A
Robert Lunt Elementary School,60,26,10,4,65,21,9,4,N/A,N/A,N/A,N/A
Robert O. Gibson Middle School,43,27,24,6,59,27,10,4,N/A,N/A,N/A,N/A
Roberta C. Cartwright Elementary School,38,23,25,14,46,24,21,8,N/A,N/A,N/A,N/A
Roger D. Gehring Elementary School,5,13,27,55,5,12,36,47,N/A,N/A,N/A,N/A
Roger M. Bryan Elementary School,31,21,27,21,29,23,25,23,N/A,N/A,N/A,N/A
Rose Warren Elementary School,48,24,19,9,53,23,17,7,N/A,N/A,N/A,N/A
Roy W.Martin Middle School and International Baccalaureate Middle Years Program,52,21,20,7,68,21,8,3,N/A,N/A,N/A,N/A
Ruben P. Diaz Elementary School,39,21,24,16,41,29,21,10,N/A,N/A,N/A,N/A
Ruby Duncan Elementary School,50,18,23,8,48,29,17,7,N/A,N/A,N/A,N/A
Ruby S. Thomas Elementary School,68,15,12,4,77,13,7,2,N/A,N/A,N/A,N/A
Ruthe Deskin Elementary School,42,21,21,16,43,27,14,15,N/A,N/A,N/A,N/A
Sandra L. Thompson Elementary School,28,23,25,24,36,23,24,17,N/A,N/A,N/A,N/A
Sandy Searles Miller Academy for International Studies an IB World School,32,23,25,19,34,29,25,12,N/A,N/A,N/A,N/A
Sandy Valley Elementary School,32,24,29,15,40,24,29,6,N/A,N/A,N/A,N/A
Sandy Valley Jr/Sr High School,41,38,16,5,45,34,15,6,N/A,N/A,N/A,N/A
Selma F. Bartlett Elementary School,26,18,27,29,28,24,23,25,N/A,N/A,N/A,N/A
Sheila R. Tarr Elementary School,17,21,32,30,20,24,28,28,N/A,N/A,N/A,N/A
Shelley Berkley Elementary School,25,17,27,32,25,23,26,26,N/A,N/A,N/A,N/A
Shirley A Barber Elementary,25,24,29,21,25,30,25,21,N/A,N/A,N/A,N/A
Shirley and Bill Wallin Elementary School,13,16,30,42,13,15,33,39,N/A,N/A,N/A,N/A
Sig Rogich Middle School,13,20,37,29,20,24,24,31,N/A,N/A,N/A,N/A
Sister Robert Joseph Bailey Elementary School,42,22,24,11,48,26,17,9,N/A,N/A,N/A,N/A
South Continuation Jr./Sr. High School,82,11,5,2,88,10,1,1,N/A,N/A,N/A,N/A
Spring Mountain Jr/Sr High School,90,10,0,0,100,0,0,0,N/A,N/A,N/A,N/A
Stanford Elementary School,43,27,20,10,37,35,21,8,N/A,N/A,N/A,N/A
Steve Cozine Elementary School,39,22,24,15,42,26,17,15,N/A,N/A,N/A,N/A
Steve Schorr Elementary School,30,22,25,23,34,25,23,18,N/A,N/A,N/A,N/A
Sue H. Morrow Elementary School,23,21,22,35,25,24,26,26,N/A,N/A,N/A,N/A
Sunrise Acres Elementary School,65,16,14,5,64,22,11,3,N/A,N/A,N/A,N/A
"The Academy of Scie, Tech, Engg, Arts, and Mathematics at Bridger Middle School",50,25,21,4,60,23,11,6,N/A,N/A,N/A,N/A
Theron H. and Naomi D. Goynes Elementary School,23,21,28,27,24,30,25,22,N/A,N/A,N/A,N/A
