Persons Employed as Substitute Teachers
School Name,Grade Level,Subjects Elementary Long Term, Short Term, Mathematics Long Term, Short Term, Science Long Term, Short Term, Social Studies Long Term, Short Term, English Long Term, Short Term
Deskin ES,PK-5,15,288,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Detwiler ES,PK-5,18,86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Diaz ES,PK-5,2,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dickens ES,PK-5,6,352,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Diskin ES,PK-5,8,214,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dondero ES,PK-5,8,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dooley ES,PK-5,8,135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Duncan ES,PK-5,17,235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Durango HS,9-12,N/A,N/A,1,99,3,51,1,28,2,66
Earl (Ira) ES,PK-5,15,172,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earl (Marion) ES,K-5,6,198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Early Childhood Program,PK-0K,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
East CTA,9-12,N/A,N/A,1,80,2,97,0,47,1,89
Edwards ES,PK-5,6,62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eisenberg ES,PK-5,4,164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eldorado HS,9-12,N/A,N/A,5,33,2,40,1,51,1,64
Elizondo ES,PK-5,16,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ellis ES,PK-05,6,443,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Escobedo MS,6-8,N/A,N/A,6,2,0,1,0,4,4,10
Explore Knowledge ES,K-5,8,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Explore Knowledge SEC,6-12,N/A,N/A,0,25,0,9,0,24,0,30
Faiss MS,6-8,N/A,N/A,0,25,1,19,2,26,0,33
Ferron ES,PK-5,10,140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fertitta MS,6-8,N/A,N/A,1,23,0,34,1,21,0,50
Findlay MS,6-8,N/A,N/A,0,8,5,9,0,5,4,14
Fine ES,PK-5,8,247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fitzgerald ES,PK-5,7,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fong ES,PK-5,17,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Foothill HS,9-12,N/A,N/A,0,79,1,93,1,82,1,134
Forbuss ES,PK-5,N/A,N/A,2,40,4,48,0,9,5,26
Fremont MS,6-8,3,192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
French ES,PK-5,13,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frias ES,PK-5,5,335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Galloway ES,PK-5,6,180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Garehime ES,PK-5,12,188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Garrett JHS,6-8,N/A,N/A,1,34,1,24,0,11,0,33
Garside JHS,6-8,N/A,N/A,5,9,3,8,2,10,3,31
Gehring ES,PK-5,6,244,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gibson (James) ES,PK-5,6,131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gibson (Robert) MS,6-8,N/A,N/A,0,41,6,58,0,18,5,41
Gilbert ES,K-5,9,172,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Givens ES,PK-5,5,366,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Global Community High school,9-12,N/A,N/A,0,39,0,10,0,12,0,11
Goldfarb ES,PK-5,3,182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goodsprings ES,K-5,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goolsby ES,PK-5,3,398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goynes ES,PK-5,2,264,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gragson ES,PK-5,15,97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gray ES,PK-5,4,98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Green Valley HS,9-12,N/A,N/A,0,118,4,67,0,111,0,114
