Parent Teacher Conference Attendance
School Name,Accountability Year,Parent/ Teacher Conference Attendance
Snyder ES,2024,97
Snyder ES,2023,99
Snyder ES,2023,97
Snyder ES,2022,75
Snyder ES,2022,95
Squires ES,2024,98
Squires ES,2023,94
Squires ES,2022,94
Stanford ES,2024,100
Stanford ES,2023,100
Stanford ES,2022,98
Staton ES,2024,99
Staton ES,2023,99
Staton ES,2022,98
Steele ES,2024,98.7
Steele ES,2023,98
Stevens Elementary School,2024,96
Stevens Elementary School,2023,94
Stevens Elementary School,2022,98
Stewart School,2022,95
Stuckey ES,2024,97
Stuckey ES,2023,98
Stuckey ES,2022,98
Sunrise Acres ES,2024,96
Sunrise Acres ES,2023,71
Sunrise Acres ES,2022,91
Tanaka ES,2024,90
Tanaka ES,2023,96
Tanaka ES,2022,95
Tarr ES,2024,99
Tarr ES,2023,75
Tarr ES,2022,95
Tartan ES,2024,84
Tartan ES,2023,89
Tartan ES,2022,90
Tate ES,2024,98
Tate ES,2023,98
Tate ES,2022,92
Taylor (Glen) ES,2024,95
Taylor (Glen) ES,2023,94
Taylor (Glen) ES,2022,96
Taylor (Robert) ES,2024,80
Taylor (Robert) ES,2023,95
Taylor (Robert) ES,2022,98
Thiriot ES,2024,98
Thiriot ES,2023,99
Thiriot ES,2022,99
Thomas ES,2024,76
Thomas ES,2023,81
Thomas ES,2022,95
Thompson ES,2024,99
Thompson ES,2023,99
Thompson ES,2022,100
"Thompson, Tyrone ES",2024,99
"Thompson, Tyrone ES",2023,99
"Thompson, Tyrone ES",2022,99
Thorpe ES,2024,81
Thorpe ES,2023,87
Thorpe ES,2022,85
Tobler ES,2024,97
Tobler ES,2023,97
Tomiyasu ES,2024,88
Tomiyasu ES,2023,85
Tomiyasu ES,2022,83
Treem ES,2024,97
Treem ES,2023,98
Treem ES,2022,97
Triggs ES,2024,92
Triggs ES,2023,96
Triggs ES,2022,95
Twin Lakes ES,2024,93
Twin Lakes ES,2023,98
Twin Lakes ES,2022,98
Twitchell ES,2024,100
Twitchell ES,2023,100
Twitchell ES,2022,100
Ullom ES,2024,98
Ullom ES,2023,98
Ullom ES,2022,95
Vanderburg ES,2024,100
Vanderburg ES,2023,100
Vanderburg ES,2022,100
Variety ES,2024,100
Variety ES,2023,100
Variety ES,2022,100
Vassiliadis ES,2024,100
Vassiliadis ES,2023,100
Vassiliadis ES,2022,100
Vegas Verdes ES,2024,78
Vegas Verdes ES,2023,83
Vegas Verdes ES,2022,98
Virgin Valley ES,2024,98
Virgin Valley ES,2023,97
Virgin Valley ES,2022,97
Walker International ES,2024,95
Walker International ES,2023,90
Walker International ES,2022,99
Wallin ES,2024,98
Wallin ES,2023,100
Wallin ES,2022,100
Ward (Gene) ES,2024,87
Ward (Gene) ES,2023,92
Ward (Gene) ES,2022,90
Ward (Kitty) ES,2024,100
Ward (Kitty) ES,2023,100
Ward (Kitty) ES,2022,100
Warren ES,2024,98
Warren ES,2023,97
Wasden ES,2024,90
Wasden ES,2023,94
Wasden ES,2022,97
Watson ES,2024,97
Watson ES,2023,99
Watson ES,2022,97
Wengert ES,2024,98
Wengert ES,2023,95
Wengert ES,2022,98
West Prep ES,2024,87
West Prep ES,2023,89
West Prep ES,2022,80
Whitney ES,2024,92
Whitney ES,2023,98
Whitney ES,2022,97
Wiener ES,2024,90
Wiener ES,2023,95
Wiener ES,2022,97
Wilhelm ES,2024,89
Wilhelm ES,2023,92
Wilhelm ES,2022,90
Williams (Tom) ES,2024,100
Williams (Tom) ES,2023,99
Williams (Tom) ES,2022,100
Williams (Wendell) ES,2024,90
Williams (Wendell) ES,2023,75
Williams (Wendell) ES,2022,85
Wolfe (Eva) ES,2024,95
Wolfe (Eva) ES,2023,95
Wolfe (Eva) ES,2022,97
Wolff (Elise) ES,2024,98
Wolff (Elise) ES,2023,97
