School Name,K #, %,1 #, %,2 #, %,3 #, %,4 #, %,5 #, %,6 #, %,7 #, %,8 #, %
Delta Academy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,-
Dennis Ortwein Elementary,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Derfelt ES,0,<5,0,<5,0,<5,-,-,0,<5,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Desert Willow ES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Willow Secondary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5
Deskin ES,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Detwiler ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Diaz ES,-,-,0,<5,0,<5,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Dickens ES,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Diskin ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Dondero ES,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Dooley ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Duncan ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Earl (Ira) ES,-,-,-,-,-,-,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Earl (Marion) ES,0,<5,0,<5,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Edwards ES,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Eisenberg ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Elizondo ES,0,<5,-,-,-,-,-,-,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Ellis ES,0,<5,0,<5,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Escobedo MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Explore Knowledge ES,-,-,0,<5,0,<5,0,<5,0,<5,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Explore Knowledge SEC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,-
Faiss MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,-,-,0,<5
Ferron ES,-,-,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Fertitta MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,-
Findlay MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Fine ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Fitzgerald ES,-,-,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Fong ES,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Forbuss ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Fremont MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,0,<5,0,<5
French ES,-,-,-,-,-,-,-,-,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Frias ES,0,<5,-,-,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Galloway ES,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Garehime ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Garrett JHS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,-,-,-,-
Garside JHS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,-,-,0,<5
Gehring ES,0,<5,-,-,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Gibson (James) ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Gibson (Robert) MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Gilbert ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Givens ES,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Goldfarb ES,0,<5,-,-,-,-,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Goodsprings ES,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Goolsby ES,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Goynes ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Gragson ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Gray ES,-,-,-,-,0,<5,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Greenspun JHS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,-,-
Griffith ES,-,-,-,-,-,-,-,-,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Guinn MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,23,7.2
"Gunderson, Barry and June MS",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,-,-
Guy ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hancock ES,-,-,-,-,-,-,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Harmon ES,0,<5,-,-,0,<5,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Harney MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,-,-
Harris ES,-,-,0,<5,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hayden ES,-,-,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hayes ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Heard Academy ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Heckethorn ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Herr ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Herron ES,0,<5,-,-,-,-,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hewetson ES,0,<5,0,<5,0,<5,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hickey ES,-,-,0,<5,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hill ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hinman ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hoggard ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hollingsworth ES,-,-,-,-,-,-,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hughes MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Hummel ES,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Hyde Park MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Indian Springs ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Indian Springs MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Innovations Charter SEC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,-
Innovations International ES,0,<5,0,<5,0,<5,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Iverson ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Jacobson ES,0,<5,-,-,0,<5,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Jeffers ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
"Jenkins, Earl N ES",0,<5,0,<5,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Johnson JHS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,-
Johnston MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,-,-
Juvenile Detention 3-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5
Jydstrup ES,-,-,-,-,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Kahre ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Katz ES,-,-,-,-,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Keller ES,-,-,-,-,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Keller (Duane) MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Kelly ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Kenneth Divich Elementary,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Kesterson ES,-,-,0,<5,-,-,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Kim ES,-,-,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
King (Martha) ES,N/A,N/A,N/A,N/A,N/A,N/A,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
King (Martin Luther Jr) ES,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Knudson MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Lake ES,-,-,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Lamping ES,-,-,0,<5,-,-,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Laughlin Jr/Sr HS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Lawrence JHS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,0,<5,13,<5
Leavitt MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5
Lied MS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,-,-
Lincoln ES,-,-,-,-,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Long ES,-,-,-,-,-,-,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Lowman ES,-,-,-,-,-,-,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
